name;lat;lon
polygon1;270838.05N;0495202,00E
;27 07 57.00n;0503655.32E
;271557.30N; 050 46 50,00 e
;270500.00N;0505500.00E
;26 5810.49N;0510515.00E
;265500.00N;0511000.00E
;264440.00N;0514359.00E
;261356.00N;0513849.00E
;262134.00N;0512301.00E
;262309.03N;0511035.90E
;261706.75N;0510440.96E
;253931.23N;0504955.03E
;253214.43N;0504639.92E
;253246.99N;0503421.79E
;253400.00N;0503319.00E
;253544.00N;0503147.55E
;254057.00N;0502608.00E
;254227.58N;0502503.18E
;254412.03N;0502415.69E
;254908.47N;0502201.00E
;255106.78N;0502002.46E
;255301.53N;0501807.00E
;255709.25N;0501735.44E
;260038.72N;0501656.30E
;260450.10N;0501611.00E
;261018.28N;0501852.34E
;261515.00N;0501908.00E
;262217.45N;0502026.57E
;262424.00N;0502218.51E
;263148.00N;0502315.00E
;263420.00N;0502759.00E
;265644.00N;0500434.00E
;270838.05N;0495202.00E
polygon2;264440.00N;0514359.00E
;260400.00N;0535700.00E
;254900.00N;0530600.00E
;253801.00N;0525744.00E
;261356.00N;0513849.00E
;264440.00N;0514359.00E
polygon3;284400.00N;0494000.00E
;270500.00N;0505500.00E
;265500.00N;0511000.00E
;264440.00N;0514359.00E
;261356.00N;0513849.00E
;262134.00N;0512301.00E
;262340.00N;0511220.00E
;262117.00N;0510420.00E
;261609.00N;0510016.00E
;261330.00N;0505513.00E
;261102.00N;0505503.00E
;260438.00N;0505427.00E
;260040.00N;0505100.00E
;255342.00N;0504857.00E
;255226.00N;0504912.00E
;255140.00N;0504953.00E
;254843.00N;0505032.00E
;254657.00N;0505123.00E
;254600.00N;0505140.00E
;254535.00N;0505153.00E
;254458.00N;0505205.00E
;254407.00N;0505158.00E
;254227.00N;0505109.00E
;254127.00N;0505143.00E
;254010.00N;0505030.00E
;253931.00N;0505006.00E
;253843.00N;0505026.00E
;253819.00N;0505022.00E
;253745.00N;0504944.00E
;253721.00N;0504754.00E
;253533.00N;0504649.00E
;253433.00N;0504737.00E
;253349.00N;0504832.00E
;253344.00N;0504904.00E
;253255.00N;0504848.00E
;253240.00N;0504854.00E
;253206.00N;0504836.00E
;253243.00N;0504746.00E
;253255.00N;0504648.00E
;253249.00N;0504611.00E
;253329.00N;0504549.00E
;253421.00N;0504405.00E
;253450.00N;0504135.00E
;253453.00N;0504122.00E
;253510.00N;0503448.00E
;253434.00N;0503403.00E
;253400.00N;0503319.00E
;253544.00N;0503147.54E
;254057.00N;0502608.00E
;254227.57N;0502503.18E
;254908.46N;0502201.00E
;255301.53N;0501807.00E
;255709.25N;0501735.43E
;260450.10N;0501611.00E
;261018.28N;0501852.34E
;261515.00N;0501908.00E
;262217.45N;0502026.56E
;262424.00N;0502218.51E
;263148.00N;0502315.00E
;263420.00N;0502759.00E
;265234.00N;0500855.00E
;265644.00N;0500434.00E
;265645.24N;0500432.59E
;275000.00N;0490800.00E
;281500.00N;0485200.00E
;284400.00N;0494000.00E
